loss_function,model_version,format,prediction_year,spearman,mar,n_pairs,top_50_hit,top_100_hit,ktc_drift_mean,ktc_retention_pct,years_in_window,notes
dynasty_v0_1yr_cumulative,dynasty_general_v0_nosignals@1qb,1qb,2024,0.3393,56.70,70,,,,,1,"top=100 cumulative=1yr"
dynasty_v0_1yr_cumulative,dynasty_general_v0_signals@1qb,1qb,2024,0.3464,56.89,70,,,,,1,"top=100 cumulative=1yr"
dynasty_v0_1yr_cumulative,fantasypros_adp@1qb,1qb,2024,0.0932,53.22,73,,,,,1,"top=100 cumulative=1yr"
dynasty_v0_1yr_cumulative,fantasypros_ecr@1qb,1qb,2024,0.2001,48.95,73,,,,,1,"top=100 cumulative=1yr"
dynasty_v0_1yr_cumulative,ktc@1qb,1qb,2024,0.2358,52.00,64,,,,,1,"top=100 cumulative=1yr"
dynasty_v0_2yr_cumulative,dynasty_general_v0_nosignals@1qb,1qb,2023,0.4674,30.45,66,,,,,2,"top=100 cumulative=2yr"
dynasty_v0_2yr_cumulative,dynasty_general_v0_nosignals@sf,sf,2023,0.5548,28.85,67,,,,,2,"top=100 cumulative=2yr"
dynasty_v0_2yr_cumulative,dynasty_general_v0_signals@1qb,1qb,2023,0.4744,33.09,67,,,,,2,"top=100 cumulative=2yr"
dynasty_v0_2yr_cumulative,fantasypros_adp@1qb,1qb,2023,0.5354,43.36,73,,,-500,95.9,2,"top=100 cumulative=2yr"
dynasty_v0_2yr_cumulative,fantasypros_ecr@1qb,1qb,2023,0.4327,37.17,72,,,-347,95.8,2,"top=100 cumulative=2yr"
dynasty_v0_2yr_cumulative,ktc@1qb,1qb,2023,0.4485,30.79,62,,,,,2,"top=100 cumulative=2yr"
dynasty_v0_3yr_cumulative,dynasty_general_v0_nosignals@1qb,1qb,2022,0.3901,56.63,86,,,,,3,"top=100 cumulative=3yr"
dynasty_v0_3yr_cumulative,dynasty_general_v0_nosignals@sf,sf,2022,0.3680,53.99,89,,,,,3,"top=100 cumulative=3yr"
dynasty_v0_3yr_cumulative,dynasty_general_v0_signals@1qb,1qb,2022,0.3759,56.52,87,,,,,3,"top=100 cumulative=3yr"
dynasty_v0_3yr_cumulative,dynasty_general_v0_signals@1qb,1qb,2022,0.4415,61.40,87,,,,,3,"top=100 cumulative=3yr"
dynasty_v0_3yr_cumulative,dynasty_general_v0_signals@1qb,1qb,2022,0.3778,56.44,87,,,,,3,"top=100 cumulative=3yr"
dynasty_v0_3yr_cumulative,dynasty_general_v0_signals@1qb,1qb,2022,0.3756,56.47,87,,,,,3,"top=100 cumulative=3yr"
dynasty_v0_3yr_cumulative,fantasypros_adp@1qb,1qb,2022,0.4627,54.75,85,,,-618,94.0,3,"top=100 cumulative=3yr"
dynasty_v0_3yr_cumulative,fantasypros_ecr@1qb,1qb,2022,0.4631,51.40,91,,,-474,94.4,3,"top=100 cumulative=3yr"
dynasty_v0_3yr_cumulative,fantasypros_ecr@1qb,1qb,2022,0.4631,51.40,91,,,-474,94.4,3,"top=100 cumulative=3yr"
dynasty_v0_3yr_cumulative,ktc@1qb,1qb,2022,0.3538,52.83,78,,,-580,92.3,3,"top=100 cumulative=3yr"
spearman_rank_ppr,fantasypros_adp@1qb,1qb,2022,0.3859,51.20,85,0.638,0.729,,,,"top=100 scoring=ppr"
spearman_rank_ppr,fantasypros_adp@1qb,1qb,2023,0.4153,45.63,73,0.625,0.740,,,,"top=100 scoring=ppr"
spearman_rank_ppr,fantasypros_adp@1qb,1qb,2024,0.0932,53.22,73,0.514,0.795,,,,"top=100 scoring=ppr"
spearman_rank_ppr,fantasypros_ecr@1qb,1qb,2022,0.3418,49.79,91,0.604,0.736,,,,"top=100 scoring=ppr"
spearman_rank_ppr,fantasypros_ecr@1qb,1qb,2023,0.3446,40.11,72,0.579,0.806,,,,"top=100 scoring=ppr"
spearman_rank_ppr,fantasypros_ecr@1qb,1qb,2024,0.2001,48.95,73,0.556,0.781,,,,"top=100 scoring=ppr"
spearman_rank_ppr,ktc@1qb,1qb,2022,0.2229,51.76,78,0.605,0.795,,,,"top=100 scoring=ppr"
spearman_rank_ppr,ktc@1qb,1qb,2023,0.4090,30.08,62,0.649,0.871,,,,"top=100 scoring=ppr"
spearman_rank_ppr,ktc@1qb,1qb,2024,0.2358,52.00,64,0.594,0.750,,,,"top=100 scoring=ppr"
